cluster_kmeans30,backdoor,ddos,dos,injection,mitm,normal,password,ransomware,scanning,xss
0,0,0,2,0,40,39,13,0,3062,532
1,0,0,0,0,0,2,0,0,0,0
2,0,0,0,0,0,448,0,0,0,0
4,2,3,0,4,7,0,4,32,54,316
5,0,0,0,0,0,277,0,0,0,0
8,0,0,0,10,4,57,0,14,0,0
9,0,0,2,0,0,0,108,0,0,0
10,72,0,0,0,0,0,0,0,48,7
11,0,0,0,0,0,9,0,0,0,3031
12,0,11,125,0,29,32,0,0,0,0
14,0,0,0,0,0,1166,0,0,0,0
15,0,0,0,0,0,0,0,0,0,179
16,0,0,0,0,0,17,0,0,0,0
17,0,5,0,1,0,1,0,0,0,7
20,0,0,2,0,0,0,0,0,0,0
21,0,0,0,0,0,121,0,0,0,0
23,0,0,0,0,0,141,0,0,0,0
26,0,25,0,3,0,0,3,0,0,1
27,0,0,0,0,0,0,0,0,0,274
28,0,34,3,33,1,34,10,0,0,377
29,0,0,0,0,1,94,0,32,0,23
