cluster_kmeans30,backdoor,ddos,dos,injection,mitm,normal,password,ransomware,scanning,xss
0,0.0,0.0,0.0005422993492407809,0.0,0.010845986984815618,0.010574837310195227,0.0035249457700650758,0.0,0.8302603036876356,0.1442516268980477
1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0.004739336492890996,0.0071090047393364926,0.0,0.009478672985781991,0.016587677725118485,0.0,0.009478672985781991,0.07582938388625593,0.12796208530805686,0.7488151658767772
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.11764705882352941,0.047058823529411764,0.6705882352941176,0.0,0.16470588235294117,0.0,0.0
9,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.9818181818181818,0.0,0.0,0.0
10,0.5669291338582677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779527559055118,0.05511811023622047
11,0.0,0.0,0.0,0.0,0.0,0.0029605263157894738,0.0,0.0,0.0,0.9970394736842105
12,0.0,0.05583756345177665,0.6345177664974619,0.0,0.14720812182741116,0.16243654822335024,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,0.0,0.35714285714285715,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.5
20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,0.0,0.78125,0.0,0.09375,0.0,0.0,0.09375,0.0,0.0,0.03125
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,0.0,0.06910569105691057,0.006097560975609756,0.06707317073170732,0.0020325203252032522,0.06910569105691057,0.02032520325203252,0.0,0.0,0.766260162601626
29,0.0,0.0,0.0,0.0,0.006666666666666667,0.6266666666666667,0.0,0.21333333333333335,0.0,0.15333333333333332
