,backdoor,ddos,dos,injection,mitm,normal,password,ransomware,scanning,xss
backdoor,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddos,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dos,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
injection,0.0,0.0196078431372549,0.17647058823529413,0.7843137254901961,0.0,0.0,0.0196078431372549,0.0,0.0,0.0
mitm,0.036585365853658534,0.0,0.0,0.0,0.9634146341463414,0.0,0.0,0.0,0.0,0.0
normal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
password,0.0,0.028985507246376812,0.036231884057971016,0.0,0.08695652173913043,0.0,0.8043478260869565,0.0,0.043478260869565216,0.0
ransomware,0.0,0.0,0.0,0.0,0.0,0.08974358974358974,0.0,0.9102564102564102,0.0,0.0
scanning,0.0,0.0,0.0,0.0,0.0,0.0,0.0003160556257901391,0.0,0.9981036662452591,0.0015802781289506952
xss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
