,precision,recall,f1-score,support
0,0.9696078431372549,0.8045010845986985,0.8793716656787196,3688.0
1,0.0,0.0,0.0,2.0
2,0.9529914529914529,0.9955357142857143,0.9737991266375546,448.0
4,0.6381578947368421,0.919431279620853,0.7533980582524272,422.0
5,1.0,1.0,1.0,277.0
8,0.9764705882352941,0.9764705882352941,0.9764705882352941,85.0
9,1.0,0.990909090909091,0.9954337899543378,110.0
10,1.0,0.5826771653543307,0.736318407960199,127.0
11,0.9996711608023676,1.0,0.9998355533629337,3040.0
12,0.8113207547169812,0.8730964467005076,0.8410757946210269,197.0
14,1.0,1.0,1.0,1166.0
15,0.22317596566523606,0.8715083798882681,0.3553530751708428,179.0
16,1.0,0.6470588235294118,0.7857142857142857,17.0
17,1.0,0.5,0.6666666666666666,14.0
20,0.0,0.0,0.0,2.0
21,1.0,1.0,1.0,121.0
23,0.9393939393939394,0.8794326241134752,0.9084249084249084,141.0
26,1.0,0.125,0.2222222222222222,32.0
27,1.0,1.0,1.0,274.0
28,0.9814432989690721,0.967479674796748,0.9744114636642784,492.0
29,0.9933333333333333,0.9933333333333333,0.9933333333333333,150.0
accuracy,0.91442097596504,0.91442097596504,0.91442097596504,0.91442097596504
macro avg,0.832646011046751,0.7679254383507487,0.764848997138049,10984.0
weighted avg,0.9555954289811694,0.91442097596504,0.9264775128165291,10984.0
