,precision,recall,f1-score,support
backdoor,0.961038961038961,1.0,0.9801324503311258,74.0
ddos,0.9397590361445783,1.0,0.968944099378882,78.0
dos,0.9054054054054054,1.0,0.950354609929078,134.0
injection,1.0,0.7843137254901961,0.8791208791208791,51.0
mitm,0.8681318681318682,0.9634146341463414,0.9132947976878613,82.0
normal,0.9971370143149284,1.0,0.9985664550481261,2438.0
password,0.9823008849557522,0.8043478260869565,0.8844621513944223,138.0
ransomware,1.0,0.9102564102564102,0.9530201342281879,78.0
scanning,0.9981036662452591,0.9981036662452591,0.9981036662452591,3164.0
xss,0.9989478114478114,1.0,0.9994736288030319,4747.0
accuracy,0.9950837581937363,0.9950837581937363,0.9950837581937363,0.9950837581937363
macro avg,0.9650824647684564,0.9460436262225163,0.9525472872166855,10984.0
weighted avg,0.9953124589779451,0.9950837581937363,0.9949542951338015,10984.0
